6;Болотце у околицы;[16]
7;Темный лес;[18]
8;Посыльная дорога;[21]
9;Дремучий лес;[22]
10;Холмы у реки;[10]
11;Малиновый сад;[15]
12;Строй-площадка новой школы;[10]
13;Деревня у реки (2-ая родовая);[27]
14;Заброшенный дом;[8]
15;Лесная дорога;[30]
16;Лесная поляна;[17]
17;Птичий лес;[22]
18;Дальний хутор;[30]
19;На реке;[14]
20;На дороге;[10]
21;Сказка для чернокнижника;[15]
22;Степная деревня (3-я родовая);[30]
23;Развалившаяся банька;[15]
24;Сторожевая башня;[15]
25;Сказочный пустырь;[8]
26;Сказка для охотника;[15]
27;Огороды;[16]
28;Степь у деревни;[20]
29;Погост Холуй (5-ая родовая);[15]
30;Дорога прямоезжая;[12]
31;Заброшенная мельница;[11]
32;Светлый лес;[20]
33;Лесное болото;[14]
34;Глухой лес;[15]
35;Грибная поляна;[15]
36;"Деревня ""Беличья Падь"" (4-ая родовая)";[14]
37;Птичий двор;[13]
38;Тракт до Торжка;[20]
39;Тракт до Торжка;[20]
40;Дороги-дороги...;[15]
41;Где-то в лесу;[20]
42;"Деревушка ""Медвежья гора"" (6-ая родовая).";[27]
43;Мад-школа;[10]
44;Домик в деревне;[10]
45;Два кладбища;[25]
46;Тверские леса;[15]
47;Дорога в медвежьей горе;[15]
48;Жихарка;[20]
49;Соловей-разбойник;[20]
50;У Соловья в доме;[21]
51;Три дороги;[30]
52;Логово людоедов;[30]
53;Юзается Бальдром;[30]
54;Новогодние призы;[30]
55;Разбойничий притон;[48]
56;Мятежная деревня;[40]
57;Лапландская сказка;[19]
58;Охотничьи угодья Князя 2;[24]
59;Просека перед охотничьими угодьями;[24]
60;Охотничьи угодья Князя;[24]
61;"Сказочный темный лес (""Хозяин леса"")";[20]
62;Кровавый Ворон;[18]
63;Строй-площадка купеческой сказки;[15]
64;В гостях у сказки;[10]
65;Сказочный край;[24]
66;Сказка для богатыря;[15]
67;Обезлюдевший хутор;[15]
68;Пещеры Ночного Дозора;[30]
69;Замок Ночного Дозора;[20]
70;Сказка лесных кошмаров;[25]
71;Сказка для волшебника;[35]
72;Сказка для волхва;[20]
73;Купальское ристалище;[15]
74;Замок дружины МЗ;[37]
75;Избушка на курьих ножках;[15]
76;Чудская деревня;[30]
77;Дорога Искоростень-НК;[30]
78;Зачарованный город;[25]
79;Зачарованный город 2;[0]
80;Замок БК;[35]
81;Сказка о кузнеце-змееборце;[15]
82;Про Федота-стрельца;[15]
83;Необитаемый остров;[15]
84;Летучий корабль;[18]
85;Сказка для татя;[5]
86;Кладбище;[18]
87;Клан-замок Наемников (ТДН);[20]
88;Сказка для кудесника;[5]
89;Хоромы тверского боярина;[20]
90;Лесной край;[20]
91;В скифской усыпальнице;[15]
92;Дорога к замку СС;[10]
93;Япония;[27]
94;Замок дружины Северного Братства;[5]
95;Япония 2;[0]
96;Сгоревший хутор;[20]
97;Город Владимир.;[50]
98;Сказочный пустырь;[8]
99;Китеж-град;[45]
100;Осада Китеж-града;[45]
101;Малый китеж;[45]
102;Люди на болоте;[45]
103;За помощью Князю;[25]
104;Замок дружины Тотьменская Застава;[20]
105;Монастырь Хранителей Тайных Знаний;[20]
106;Кланзамок Творцов Вечности;[20]
107;Волчий лес;[20]
108;Деревенский Колодец;[30]
109;Дорога Торжок-Русса 1;[30]
110;Дорога Торжок-Русса 2;[30]
111;Дорога Торжок-Русса 3;[30]
112;Старая каменоломня;[20]
113;Купеческий двор у Торжка;[15]
114;Замок Новгородского Княжества;[20]
115;Дорога к Ижорской деревне;[20]
116;Посолонь (Времена Года);[15]
117;Лагерь бешеных колобков;[20]
118;Окрестности Переяславля;[30]
119;Дорога по степи (Переяславль-Чернигов);[15]
120;Дорога в лесу 1 (Переяславль-Чернигов);[20]
121;Дорога в лесу 2 (Переяславль-Чернигов);[20]
122;Древние подземелья -- ДЗП;[40]
123;История о хрустальном шаре;[30]
124;Черное болото;[30]
125;Подвал замка Нежити;[28]
126;Дорога к Замку Нежити;[28]
127;Замок нежити;[28]
128;Логово минотавров;[25]
129;Свадьба на хуторе;[20]
130;Городище Корсунь;[32]
131;Речная пристань у Корсуни;[30]
132;Проклятая деревня;[24]
133;Дорога (СтраннаяПроклятая деревни);[30]
134;Поля и пастбища у Корсуни;[15]
135;Разбойничий лес;[30]
136;Заколдованный лес;[20]
137;Стоянка половцев;[20]
138;Боярская застава у Твери;[25]
139;Дорога до Твери;[30]
140;По обе стороны дороги;[20]
141;Дорога (Корсунь-Рыбацкая 2);[20]
142;Дорога (Корсунь-Рыбацкая);[20]
143;Бобры и плотина;[20]
144;Руины древнего города;[15]
145;Храм Падшей Богини;[0]
146;Дорога в лесу (Корсунь-Развалины);[8]
147;Дорога в степи (Корсунь-Развалины);[20]
148;Пещера Вдовы;[30]
149;Травень остров;[15]
150;Священный дуб;[15]
151;Финист-ясен сокол;[25]
152;Буратино;[25]
153;Замок Ладожского Братства (ЛБ);[20]
154;Дорога в Ладогу;[15]
155;Остров Валаам;[25]
156;Странный Лес;[20]
157;Странный Лес 2;[0]
158;Снежная королева;[22]
159;Князь Велесур и деревня язычников;[30]
160;Дорога Искоростень-Туров 2;[20]
161;Дорога Искоростень-Туров 1;[20]
162;Морская стихия;[20]
163;Дорога Менск-Туров 2;[20]
164;Дорога Менск-Туров;[20]
165;Рыбацкая весь;[20]
166;Подводное царство;[30]
167;Подводное царство;[30]
168;Подводный город;[30]
169;Пиратский остров;[0]
170;Большие яры;[25]
171;Окрестности Киева;[30]
172;Передовой острог;[25]
173;Разоренная деревня;[29]
174;Дорога на запад от Киева;[25]
175;Торговый тракт;[20]
176;Торговый тракт 3;[30]
177;Город Галич;[50]
178;Торговый тракт 4;[30]
179;Торговый тракт 5;[30]
180;Пристанище Лесомык;[15]
181;Дорога РуссаЕршова слобода;[30]
182;Ершова слобода;[25]
183;Южный берег озера Ильмень;[20]
184;Замок ДОВ;[30]
185;Замок СП;[15]
186;История одного болота;[20]
187;Северный хутор;[30]
188;Дорога южнее ВН;[30]
189;Западный берег Ильмень;[30]
190;неопределено;[30]
191;Дорога к долине змеев;[20]
192;Долина змеев;[20]
193;Дорога от Корсуни на север;[18]
194;Дорога от Корсуни на север 2;[23]
195;Постоялый двор;[30]
196;Остров Буян;[30]
197;Застава Черномора;[30]
198;Погоревший лес;[10]
199;Замок Кащея бессмертного;[30]
200;Дорога к странной деревне;[20]
201;Хоромы брянского боярина;[30]
202;Острог Игоревой Рати;[20]
203;Степная дорога до рыбацкой веси;[15]
204;Мельня;[17]
205;Торговый тракт 2;[30]
206;Зелье желаний;[25]
207;Сожженный лес;[30]
208;Черная дорога;[0]
209;Погост у озера;[35]
210;Дурман-трава;[29]
211;Владимирская усадьба;[30]
212;Лагерь разбойников;[20]
213;Киев (старый город, замок ДНЗ);[30]
214;Киев (новый город);[30]
215;Брюхо гриба?! Да ты обкурился, приятель!;[30]
216;Киевский посад;[30]
217;Странная деревня;[30]
218;Болдины горы;[30]
219;Хазарския крепость Саркел 28+;[30]
220;Подземный город;[30]
221;Погребенный город;[38]
222;Замок РП;[15]
223;Замок Варяжской Дружины (ВД);[20]
226;Лагерь отшельников Ночного Дозора;[30]
227;Господин Великий Новгород;[45]
228;Ганзейский двор;[12]
230;Дорога НК-ВН 1;[15]
231;Дорога НК-ВН 2;[0]
232;Дорога к Ильмень-озеру;[30]
233;На Ильмень-озере;[5]
234;Приток Днепра 1;[15]
235;Приток Днепра 2;[15]
236;Дорога к мятежной деревне;[20]
237;После Садко;[25]
238;Дорога к топям;[15]
239;Топи.;[30]
240;Два богатыря;[30]
241;Цыганский табор;[20]
242;Заброшенная крепость;[20]
243;Дорога к заброшенной крепости;[15]
244;Долина отрешенных;[15]
245;Подземелье зла;[35]
247;Варяжская деревня;[15]
248;Горемычная деревушка;[20]
249;Дорога до Тотьмы 1;[30]
250;Дорога до Тотьмы 2;[30]
251;Дорога до Тотьмы 3;[30]
252;Воровская гильдия в Тотьме;[20]
253;Чернигов-Курск 1;[15]
254;Чернигов-Курск 2;[2]
255;Чернигов-Курск 3;[10]
257;Дорога к Новгородскому Посаду;[20]
258;Дорога к чудской деревне;[20]
259;Дорога по Новгородским лесам;[20]
260;Дорога к Новгородским селениям;[15]
261;Лесной лабиринт;[15]
263;Дорога предков;[30]
264;Замороченный лес;[20]
265;Дорога до Владимира 1;[20]
267;Дорога до Владимира 2;[20]
268;Дорога НК-ВН 3;[15]
269;Дорога вдоль Днепра (НК-ВН);[15]
270;Вышгород-Боярские хоромы;[20]
271;Дорога до Пскова 1;[15]
272;Дорога до Пскова 2;[15]
273;Дорога до Пскова 3;[15]
274;Дорога до Чернигова 1;[15]
275;Дорога до Чернигова 2;[15]
276;Дорога до Чернигова 3;[15]
277;Дорога Чернигов-Брянск 1;[20]
278;Дорога Чернигов-Брянск 2;[15]
279;Дорога в Ижорские земли;[15]
280;Дорога Владимир-Тверь;[23]
281;Дорога из Курска в Брянск;[25]
282;Дорога из Курска в Брянск-2;[33]
284;Новое брянское кладбище;[22]
285;Тверская деревня;[20]
286;Тверские топи;[20]
287;Приднепровское селение;[27]
288;Темница демонов (шестая зона ада);[0]
289;Новгородский гостинный двор;[15]
290;Деревня в Новгородских лесах;[20]
291;Замок темного мага;[15]
292;Муромская деревня;[33]
293;На реке Горынь;[40]
294;Купеческая арена;[25]
295;Пристань в Киеве;[30]
296;Внутри вулкана (пятая зона ада);[0]
297;Путь в горах (четвертая зона ада);[0]
298;Пещера демонов (третья зона ада);[0]
301;Чернигов Курганы;[30]
302;Деревушка у озера;[15]
303;Осажденный лагерь;[30]
304;Купеческий двор;[25]
305;Туманный лес;[0]
306;Крепость Слободка близ Переяславля;[20]
307;Дорога Чернигов-Любеч;[22]
309;Вдоль мертвой реки (вторая зона ада);[0]
310;На распутье (первая зона ада);[30]
311;Марин Чертог;[30]
312;Велесова Земля (Край Велеса);[30]
313;Школа волхвов;[25]
314;Перунова Крепь;[30]
315;Форпост викингов;[30]
316;Дорога к форпосту викингов;[15]
317;Словенская деревня(Курган);[28]
318;Сказочный сон;[26]
319;Словенская деревня(проклятие);[28]
320;Мед поэзии;[30]
321;Дорога КурскРязань (1);[20]
322;Дорога КурскРязань (2);[20]
323;Тракт в Рязань;[20]
324;Замок Рязанской Дружины;[31]
325;Дорога до Полоцка;[15]
327;Дорога Тотьма-Рудники;[0]
328;Хозяйка медной горы;[20]
329;Медные рудники;[30]
330;Замок Княжеской дружины;[45]
331;Дорога Владимир-Тверь 1;[33]
332;Дорога Полоцк-Минск;[20]
333;Четыре стихии;[40]
334;Дорога к Самоцветным горам и перевал;[30]
335;Проклятая земля;[30]
336;Веска Белай Русi;[25]
337;Подземный Замок Проклятых;[60]
338;Путь в Темную долину;[50]
339;Пустошь людских страхов(Темная долина);[60]
340;Пещеры Вечного Холода (Темная долина);[45]
341;Новая мад-школа;[10]
342;Заповедный лес;[20]
343;Дорога в Муром часть 1;[16]
344;Сказочная дорога в Муром;[14]
345;Дорога Муром Тотьма 1;[20]
346;Дорога Муром Тотьма 2;[30]
347;Дорога Муром Тотьма 3;[42]
348;Дорога Муром Тотьма 4;[32]
349;Дорога из Минска на Псковский тракт;[22]
350;Трактир в курской деревне;[30]
351;Лукоморья больше нет;[34]
352;Ратники Карны;[45]
353;Замок Тотьменской вольницы;[20]
354;Деревня ремесленников;[28]
355;Дорога Галича Деревня ремесленников;[28]
356;Дальний север;[25]
358;Лапландский колдун;[20]
359;Гильдия душегубов;[28]
360;Торговая лодья;[14]
361;Гиблый яр;[30]
362;Райковецкое селение;[30]
363;Монгольский лагерь;[30]
364;Ховала (средний уровень:;[20]
365;Степная дорога 1;[15]
366;Степная дорога 2;[15]
367;Степная дорога 3;[15]
368;Два лагеря;[15]
369;Детинец в степи;[15]
370;Дикое поле;[15]
371;Золотой идол;[20]
372;Южный шляхсеверная часть;[30]
373;Южный шляхюжная часть;[30]
374;Прототипы мобов для набегов;[20]
375;Княжья псарня;[45]
376;Принеси мне голову прекрасного принца;[10]
377;Ростов Великий (Пригород);[30]
378;Ростов Великий;[30]
379;Дорога Ростов-Тверь;[30]
380;Замок Братства Упырей;[30]
381;Бобровое поселение (замок СРБ);[35]
382;Замок тевтонских рыцарей;[25]
383;Замок тевтонских рыцарей 2;[25]
384;от Пскова до Вислы;[20]
385;от Вислы до Немана;[20]
386;Военный лагерь Миндовга;[20]
387;Таинственное поместье;[20]
388;Волшебный сад;[20]
389;Украденная радуга;[0]
390;Медное, серебряное и золотое царства;[35]
391;Самоцветные горы 2;[30]
392;Ливонский лагерь;[25]
393;Тридевятое царство;[15]
394;Зов крови 1;[25]
395;Зов крови 2;[10]
396;Рипейские горы;[30]
397;Дорога к рипеям I (рипеи-1);[30]
398;Дорога к рипеям II (рипеи-1);[60]
399;Рипейские горыдорога к ирию;[0]
400;Дорога к реке смородине (рипеи-2);[100]
401;Мост через реку Смородину (рипеи-2);[0]
402;Переправа через реку Смородину (рипеи-2);[0]
403;Развалины у реки Смородины (рипеи-2);[0]
404;Царство мертвых (рипеи-2);[0]
405;Логово Скипер зверя I (рипеи-2);[5]
406;Логово Скипер зверя II (рипеи-2);[0]
407;Царство мертвых (Огненное озеро) (рипеи-2);[45]
408;Замок Огненного Змея I (рипеи-2);[0]
409;Замок Огненного Змея II (рипеи-2);[0]
410;Подземный проход (рипеи-3);[100]
411;Ер-боко-каан;[30]
412;Вий;[30]
413;Курская деревня;[30]
414;Аримаспы;[60]
415;Поселение наемников;[30]
416;Бескрайние леса возле Тотьмы;[30]
417;Ближние горы;[25]
418;Черная башня;[5]
419;Баба-Яга (овраги);[45]
420;Баба-Яга 2 (лес);[45]
421;Баба-Яга 3 (горы);[30]
422;Прадуб;[30]
423;Вальгалла;[30]
424;Мидгард мир людей;[30]
425;Турнирная арена;[1]
426;Порубежье (переход РУСЬ-СТЕПЬ);[10]
427;Соколиная охота или печенежская краса;[10]
428;Степная деревня (степная территория);[7]
429;Походный лагерь;[20]
430;Хазарское селение;[20]
431;Емшан-трава;[30]
432;Бескрайняя степь;[15]
433;Мертвый город (храм);[25]
434;Мертвый город;[25]
435;Ахуры и Дэвы;[20]
436;стоянка караханидов Нэтри;[30]
437;Херсонес;[20]
438;Пантикапей;[25]
439;Дворец Митридата;[25]
440;Посольство в Поднебесную;[25]
